cn,sv,vi
威,Uy,Uy
文廬,Văn Lư,Văn Lư
臣,Thần,Thần
吏,Lại,Lại
廬,Lư,Lư
戦,Chiến,Chiến
梁如鵠,Lương Như Hộc,Lương Như Hộc
廬,Lư,Lư
爾,Nhĩ,Nhĩ
國,Quốc,Quốc
丁丑吏,Đinh Sửu Lại,Đinh Sửu Lại
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
會,Hội,Hội
戊寅,Mậu Dần,Mậu Dần
翰,Hàn,Hàn
鄭鉄長,Trịnh Thiết Trường,Trịnh Thiết Trường
翰,Hàn,Hàn
工,Công,Công
國威,Quốc Oai,Quốc Oai
楊執中,Dương Chấp Trung,Dương Chấp Trung
大,Đại,Đại
刑,HÌnh,HÌnh
翰,Hàn,Hàn
兵,Binh,Binh
范琚,Phạm Cư,Phạm Cư
太,Thái,Thái
諒山,Lạng Sơn,Lạng Sơn
勤政,Cần Chính,Cần Chính
諒山安󰘊北平,Lạng Sơn An Bang Bắc Bình,Lạng Sơn An Bang Bắc Bình
朝,Triều,Triều
以汧仁壽,Dĩ Nghiên Nhân Thọ,Dĩ Nghiên Nhân Thọ
尚,Thượng,Thượng
許諒山,Hứa Lạng Sơn,Hứa Lạng Sơn
阮哿,Nguyễn Cả,Nguyễn Cả
大,Đại,Đại
黎伯達,Lê Bá Đạt,Lê Bá Đạt
招,Chiêu,Chiêu
北平,Bắc Bình,Bắc Bình
北平,Bắc Bình,Bắc Bình
户,Hộ,Hộ
東,Đông,Đông
武原潜謝彪,Vũ Nguyên Tiềm Tạ Bưu,Vũ Nguyên Tiềm Tạ Bưu
鳳儀,Phụng Nghi,Phụng Nghi
時原潜彪,Thời Nguyên Tiềm Bưu,Thời Nguyên Tiềm Bưu
東,Đông,Đông
東,Đông,Đông
太,Thái,Thái
原潜,Nguyên Tiềm,Nguyên Tiềm
潜彪,Tiềm Bưu,Tiềm Bưu
鳳儀,Phụng Nghi,Phụng Nghi
吏,Lại,Lại
阮如堵東,Nguyễn Như Đổ Đông,Nguyễn Như Đổ Đông
陳封都,Trần Phong Đô,Trần Phong Đô
陳鷟,Trần Xác,Trần Xác
潜彪,Tiềm Bưu,Tiềm Bưu
命都,Mệnh Đô,Mệnh Đô
屈打,Khuất Đả,Khuất Đả
安󰘊可勒,An Bang Khả Lặc,An Bang Khả Lặc
吏,Lại,Lại
汧仁壽東,Nghiên Nhân Thọ Đông,Nghiên Nhân Thọ Đông
韶惟精,Thiều Duy Tinh,Thiều Duy Tinh
安󰘊,An Bang,An Bang
可勒,Khả Lặc,Khả Lặc
罷西,Bãi Tây,Bãi Tây
都,Đô,Đô
黎舌,Lê Thiệt,Lê Thiệt
以舌,Dĩ Thiệt,Dĩ Thiệt
脱,Thoát,Thoát
賜兵,Tứ Binh,Tứ Binh
阮永錫,Nguyễn Vĩnh Tích,Nguyễn Vĩnh Tích
永錫,Vĩnh Tích,Vĩnh Tích
兵,Binh,Binh
總,Tổng,Tổng
以黎伯籌,Dĩ Lê Bá Trù,Dĩ Lê Bá Trù
兵,Binh,Binh
流北平,Lưu Bắc Bình,Lưu Bắc Bình
黎六同,Lê Lục Đồng,Lê Lục Đồng
阮量,Nguyễn Lượng,Nguyễn Lượng
天南皇帝,Thiên Nam Hoàng Đế,Thiên Nam Hoàng Đế
權户,Quyền Hộ,Quyền Hộ
阮居道,Nguyễn Cư Đạo,Nguyễn Cư Đạo
皇帝,Hoàng Đế,Hoàng Đế
天南,Thiên Nam,Thiên Nam
順天,Thuận Thiên,Thuận Thiên
向,Hướng,Hướng
秘,Bí,Bí
梁如鵠,Lương Như Hộc,Lương Như Hộc
文,Văn,Văn
皇帝,Hoàng Đế,Hoàng Đế
翰,Hàn,Hàn
黎義,Lê Nghĩa,Lê Nghĩa
昔房玄齡,Tích Phòng Huyền Linh,Tích Phòng Huyền Linh
唐太宗,Đường Thái Tông,Đường Thái Tông
實,Thực,Thực
玄齡,Huyền Linh,Huyền Linh
玄齡,Huyền Linh,Huyền Linh
玄武,Huyền Vũ,Huyền Vũ
玄齡,Huyền Linh,Huyền Linh
唐太,Đường Thái,Đường Thái
帝,Đế,Đế
光順,Quang Thuận,Quang Thuận
人,Nhân,Nhân
唐太玄齡,Đường Thái Huyền Linh,Đường Thái Huyền Linh
帝,Đế,Đế
陛,Bệ,Bệ
義,Nghĩa,Nghĩa
聖,Thánh,Thánh
議安󰘊,Nghị An Bang,Nghị An Bang
安󰘊,An Bang,An Bang
可勒,Khả Lặc,Khả Lặc
命西,Mệnh Tây,Mệnh Tây
屈打,Khuất Đả,Khuất Đả
親,Thân,Thân
殿,Điện,Điện
校,Hiệu,Hiệu
召太,Triệu Thái,Triệu Thái
丁列太,Đinh Liệt Thái,Đinh Liệt Thái
阮耒黎念五,Nguyễn Lỗi Lê Niệm Ngũ,Nguyễn Lỗi Lê Niệm Ngũ
鄭文洒,Trịnh Văn Sái,Trịnh Văn Sái
嘉祐,Gia Hựu,Gia Hựu
驍,Kiêu,Kiêu
黎公儀,Lê Công Nghi,Lê Công Nghi
命南,Mệnh Nam,Mệnh Nam
阮德忠,Nguyễn Đức Trung,Nguyễn Đức Trung
安󰘊,An Bang,An Bang
中,Trung,Trung
安,An,An
參,Tham,Tham
鄧貼,Đặng Thiếp,Đặng Thiếp
一,Nhất,Nhất
思客,Tư Khách,Tư Khách
布政,Bố Chính,Bố Chính
欽,Khâm,Khâm
吏,Lại,Lại
汧仁壽,Nghiên Nhân Thọ,Nghiên Nhân Thọ
安󰘊,An Bang,An Bang
黎悔,Lê Hối,Lê Hối
督,Đốc,Đốc
屈打,Khuất Đả,Khuất Đả
勑仁壽,Sắc Nhân Thọ,Sắc Nhân Thọ
户,Hộ,Hộ
令乂安,Lệnh Nghệ An,Lệnh Nghệ An
乂安,Nghệ An,Nghệ An
䏓動,Nguyễn Động,Nguyễn Động
安󰘊,An Bang,An Bang
以翰,Dĩ Hàn,Dĩ Hàn
陶雋,Đào Tuấn,Đào Tuấn
太,Thái,Thái
安󰘊,An Bang,An Bang
鄭公路,Trịnh Công Lộ,Trịnh Công Lộ
安󰘊,An Bang,An Bang
一,Nhất,Nhất
萬寕新安,Vạn Ninh Tân Yên,Vạn Ninh Tân Yên
勑户,Sắc Hộ,Sắc Hộ
命户,Mệnh Hộ,Mệnh Hộ
勸,Khuyên,Khuyên
敬天,Kính Thiên,Kính Thiên
講武,Giảng Võ,Giảng Võ
皇帝,Hoàng Đế,Hoàng Đế
太廟,Thái Miếu,Thái Miếu
諭都,Dụ Đô,Dụ Đô
阮德忠,Nguyễn Đức Trung,Nguyễn Đức Trung
安󰘊,An Bang,An Bang
遣總,Khiển Tổng,Khiển Tổng
阮文談,Nguyễn Văn Đàm,Nguyễn Văn Đàm
安󰘊,An Bang,An Bang
阮德忠,Nguyễn Đức Trung,Nguyễn Đức Trung
梁如鵠,Lương Như Hộc,Lương Như Hộc
阮廷美,Nguyễn Đình Mĩ,Nguyễn Đình Mĩ
蝗,Hoàng,Hoàng
吏,Lại,Lại
汧仁壽,Nghiên Nhân Thọ,Nghiên Nhân Thọ
屈打阮報黎悔,Khuất Đả Nguyễn Báo Lê Hối,Khuất Đả Nguyễn Báo Lê Hối
暹羅,Tiêm La,Tiêm La
云屯,Vân Đồn,Vân Đồn
安󰘊諒山宣光,An Bang Lạng Sơn Tuyên Quang,An Bang Lạng Sơn Tuyên Quang
爾,Nhĩ,Nhĩ
杖殿,Trượng Điện,Trượng Điện
高伯祥,Cao Bá Tường,Cao Bá Tường
黎壽域黎逋范文献,Lê Thọ Vực Lê Bô Phạm Văn Hiến,Lê Thọ Vực Lê Bô Phạm Văn Hiến
伯祥,Bá Tường,Bá Tường
命吏,Mệnh Lại,Mệnh Lại
禮,Lễ,Lễ
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
南策𰎟山太平建昌,Nam Sách Giáp Sơn Thái BÌnh Kiến Xương,Nam Sách Giáp Sơn Thái BÌnh Kiến Xương
乂安,Nghệ An,Nghệ An
勑各,Sắc Các,Sắc Các
副,Phó,Phó
今副,Kim Phó,Kim Phó
承,Thừa,Thừa
若承,Nhược Thừa,Nhược Thừa
其參,Kì Tham,Kì Tham
參,Tham,Tham
總,Tổng,Tổng
黎紋,Lê Văn,Lê Văn
哀牢呼籠,Ai Lao Hô Lung,Ai Lao Hô Lung
徙安󰘊,Tỉ An Bang,Tỉ An Bang
排禀,Bài Lẫm,Bài Lẫm
清化承,Thanh Hoá Thừa,Thanh Hoá Thừa
明安平,Minh An Bình,Minh An Bình
李璘,Lí Lân,Lí Lân
夏琅,Hạ Lang,Hạ Lang
璘,Lân,Lân
陶院黎伯達,Đào Viện Lê Bá Đạt,Đào Viện Lê Bá Đạt
璘,Lân,Lân
黄,Hoàng,Hoàng
太,Thái,Thái
陛,Bệ,Bệ
爪哇,Trảo OA,Trảo OA
那盃,Na Bôi,Na Bôi
都,Đô,Đô
屈打,Khuất Đả,Khuất Đả
刑,Hình,Hình
北平,Bắc Bình,Bắc Bình
太保阮耒,Thái Bảo Nguyễn Lỗi,Thái Bảo Nguyễn Lỗi
生,Sinh,Sinh
屈打,Khuất Đả,Khuất Đả
六,Lục,Lục
刑,Hình,Hình
黎伯籌,Lê Bá Trù,Lê Bá Trù
屈打,Khuất Đả,Khuất Đả
耒,Lỗi,Lỗi
大,Đại,Đại
以吏,Dĩ Lại,Dĩ Lại
寕滔,Ninh Thao,Ninh Thao
陳鷟,TRần Xác,TRần Xác
阮復,Nguyễn Phục,Nguyễn Phục
如,Như,Như
黎文叨文豊,Lê Văn Thao Văn Phong,Lê Văn Thao Văn Phong
黎廷俊,Lê Đình Tuấn,Lê Đình Tuấn
梁世榮,Lương Thế Vinh,Lương Thế Vinh
鳳󰀩,Phượng Nghi,Phượng Nghi
召吏,Triệu Lại,Triệu Lại
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
如堵,Như Đổ,Như Đổ
錦衣,Cẩm Y,Cẩm Y
陳封,Trần Phong,Trần Phong
北平,Bắc Bình,Bắc Bình
黎悔,Lê Hối,Lê Hối
悔,Hối,Hối
陳鷟,Trần Xác,Trần Xác
悔,Hối,Hối
軍,Quân,Quân
鷟,Xác,Xác
鷟,Xác,Xác
予,Dư,Dư
諭陳封,Dụ Trần Phong,Dụ Trần Phong
朕,Trẫm,Trẫm
唐󰔄,Đường Ngu,Đường Ngu
占,Chiêm,Chiêm
命東,Mệnh Đông,Mệnh Đông
鄭公路,Trịnh Công Lộ,Trịnh Công Lộ
皇,Hoàng,Hoàng
降北,Giáng Bắc,Giáng Bắc
承,Thừa,Thừa
黎公恪,Lê Công Khác,Lê Công Khác
楊如珠,Dương Như Châu,Dương Như Châu
鴻臚,Hồng Lư,Hồng Lư
甲午,Giáp Ngọ,Giáp Ngọ
冬,Đông,Đông
孝,Hiếu,Hiếu
國,Quốc,Quốc
北,Bắc,Bắc
黎解,Lê Giải,Lê Giải
殿,Điện,Điện
兵,Binh,Binh
黎伯籌,Lê Bá Trù,Lê Bá Trù
左,Tả,Tả
還西,Hoàn Tây,Hoàn Tây
黎舌,Lê Thiệt,Lê Thiệt
初舌,Sơ Thiệt,Sơ Thiệt
勑玉籍,Sắc Ngọc Tịch,Sắc Ngọc Tịch
都,Đô,Đô
黎觧,Lê Giải,Lê Giải
皇,Hoàng,Hoàng
曰皇,Viết Hoàng,Viết Hoàng
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
阮世羙,Nguyễn Thế Mĩ,Nguyễn Thế Mĩ
太,Thái,Thái
黎念,Lê Niệm,Lê Niệm
梁世榮都,Lương Thế Vinh Đô,Lương Thế Vinh Đô
鄭文洒,Trịnh Văn Sái,Trịnh Văn Sái
鄧淑教尚,Đặng Thục Giáo Thượng,Đặng Thục Giáo Thượng
陳封,Trần Phong,Trần Phong
尚,Thượng,Thượng
楊宗海,Dương Tông Hải,Dương Tông Hải
梁世榮,Lương Thế Vinh,Lương Thế Vinh
阮仁隨,Nguyễn Nhân Tuỳ,Nguyễn Nhân Tuỳ
丁逋剛,Đinh Bô Cương,Đinh Bô Cương
六,Lục,Lục
六,Lục,Lục
御,Ngự,Ngự
移刑,Di Hình,Di Hình
大,Đại,Đại
諒山,Lạng Sơn,Lạng Sơn
黎練,Lê Luyện,Lê Luyện
訪,Phỏng,Phỏng
明,Minh,Minh
廣西,Quảng Tây,Quảng Tây
浯潯,Ngô Tầm,Ngô Tầm
廉,Liêm,Liêm
廣西憑,Quảng Tây Bằng,Quảng Tây Bằng
李廣寧,Lí Quảng Ninh,Lí Quảng Ninh
南交,Nam Giao,Nam Giao
蛮,Man,Man
阮耒,Nguyễn Lỗi,Nguyễn Lỗi
宜,Nghi,Nghi
試宏,Thí Hoành,Thí Hoành
時欽,Thời Khâm,Thời Khâm
武有員,Vũ Hữu Viên,Vũ Hữu Viên
䏓廷科,Nguyễn Đình Khoa,Nguyễn Đình Khoa
刑,Hình,Hình
武有,Vũ Hữu,Vũ Hữu
許郎,Hứa Lang,Hứa Lang
阮詳黎廷俊知,Nguyễn Tường Lê Đình Tuấn Tri,Nguyễn Tường Lê Đình Tuấn Tri
阮仁浹陶舜󰁮員,Nguyễn Nhân Tiếp Đào Thuấn Cử Viên,Nguyễn Nhân Tiếp Đào Thuấn Cử Viên
范如籃奏,Phạm Như Lam Tấu,Phạm Như Lam Tấu
陳季暄,Trần Quý Huyên,Trần Quý Huyên
秘,Bí,Bí
宏,Hoành,Hoành
范柰,Phạm Nại,Phạm Nại
鳯󰀩,Phụng Nghi,Phụng Nghi
吏,Lại,Lại
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
刑,Hình,Hình
范柰譚文通,Phạm Nại Đàm Văn Thông,Phạm Nại Đàm Văn Thông
梁世榮杜欣,Lương Thế Vinh Đỗ Hân,Lương Thế Vinh Đỗ Hân
以國,Dĩ Quốc,Dĩ Quốc
阮仁隨縣,Nguyễn Nhân Tuỳ Huyện,Nguyễn Nhân Tuỳ Huyện
丁逋剛監,Đinh Bô Cương Giám,Đinh Bô Cương Giám
陶仁隨知,Đào Nhân Tuỳ Tri,Đào Nhân Tuỳ Tri
黎伯脩明,Lê Bá Tu Minh,Lê Bá Tu Minh
陶郎種,Đào Lang Chủng,Đào Lang Chủng
海西東北南,Hải Tây Đông Bắc Nam,Hải Tây Đông Bắc Nam
丁仁甫韶惟精,Đinh Nhân Phủ Thiều Duy Tinh,Đinh Nhân Phủ Thiều Duy Tinh
海東西南,Hải Đông Tây Nam,Hải Đông Tây Nam
陶武󰁮,Đào Vũ Cử,Đào Vũ Cử
翰,Hàn,Hàn
秘,Bí,Bí
太,Thái,Thái
丁列,Đinh Liệt,Đinh Liệt
太,Thái,Thái
程伯脩,Trình Bá Tu,Trình Bá Tu
北平,Bắc Bình,Bắc Bình
弄原,Lộng Nguyên,Lộng Nguyên
梁如鵠,Lương Như Hộc,Lương Như Hộc
陳季暄,Trần Quý Huyên,Trần Quý Huyên
季暄,Quý Huyên,Quý Huyên
順化,Thuận Hoá,Thuận Hoá
清化乂安,Thanh Hoá Nghệ An,Thanh Hoá Nghệ An
戊子,Mậu Tí,Mậu Tí
明成化,Minh Thành Hoá,Minh Thành Hoá
阮復爾,Nguyễn Phục Nhĩ,Nguyễn Phục Nhĩ
鬼,Quỷ,Quỷ
裴白良范溥,Bùi Bạch Lương Phạm Phổ,Bùi Bạch Lương Phạm Phổ
皇,Hoàng,Hoàng
禮,Lễ,Lễ
秋,Thu,Thu
吏,Lại,Lại
阮如堵太和,Nguyễn Như Đổ Thái Hoà,Nguyễn Như Đổ Thái Hoà
刑,Hình,Hình
爾吏,Nhĩ Lại,Nhĩ Lại
扈,Hộ,Hộ
籃京,Lam Kinh,Lam Kinh
皇,Hoàng,Hoàng
祈,Kì,Kì
黎念,Lê Niệm,Lê Niệm
黎弘毓杜潤郭廷寶,Lê Hoằng Dục Đỗ Nhuận Quách Đình Bảo,Lê Hoằng Dục Đỗ Nhuận Quách Đình Bảo
英,Ánh,Ánh
吏,Lại,Lại
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
爾,Nhĩ,Nhĩ
諭阮如堵,Dụ Nguyễn Như Đổ,Dụ Nguyễn Như Đổ
陳封,Trần Phong,Trần Phong
胡,Hồ,Hồ
阮烟,Nguyễn Yên,Nguyễn Yên
封,Phong,Phong
陳封,Trần Phong,Trần Phong
阮德忠,Nguyễn Đức Trung,Nguyễn Đức Trung
德忠,Đức Trung,Đức Trung
德忠長樂,Đức Trung Trường Lạc,Đức Trung Trường Lạc
烟,Yên,Yên
烟,Yên,Yên
户,Hộ,Hộ
阮居道昔,Nguyễn Cư Đạo Tích,Nguyễn Cư Đạo Tích
經,Kinh,Kinh
不,Bất,Bất
觀陳封,Quan Trần Phong,Quan Trần Phong
黎逋,Lê Bô,Lê Bô
以范溥,Dĩ Phạm Phổ,Dĩ Phạm Phổ
癸未,Quý Mùi,Quý Mùi
武,Vũ,Vũ
明,Minh,Minh
楊文旦范鑑黄仁,Dương Văn Đán Phạm Giám Hoàng Nhân,Dương Văn Đán Phạm Giám Hoàng Nhân
謝種,Tạ Chủng,Tạ Chủng
永安萬寧,Vĩnh An Vạn Ninh,Vĩnh An Vạn Ninh
御,Ngự,Ngự
陳鷟阮文質,Trần Xác Nguyễn Văn Chất,Trần Xác Nguyễn Văn Chất
内,Nội,Nội
阮書朱德大楊明封吳閼潘宗禎,Nguyễn Thư Chu Đức Đại Dương Minh Phong Ngô Át Phan Tông Trinh,Nguyễn Thư Chu Đức Đại Dương Minh Phong Ngô Át Phan Tông Trinh
阮書,Nguyễn Thư,Nguyễn Thư
潘宗禎,Phan Tông Trinh,Phan Tông Trinh
阮武,Nguyễn Vũ,Nguyễn Vũ
且潘宗禎,Thả Phan Tông Trinh,Thả Phan Tông Trinh
賢,Hiền,Hiền
賢,Hiền,Hiền
賢,Hiền,Hiền
阮梅,Nguyễn Mai,Nguyễn Mai
己丑,Kỉ Sửu,Kỉ Sửu
明成化,Minh Thành Hoá,Minh Thành Hoá
朕,Trẫm,Trẫm
刑,Hình,Hình
陳封,Trần Phong,Trần Phong
敬天,Kính Thiên,Kính Thiên
命太,Mệnh Thái,Mệnh Thái
提,Đề,Đề
國,Quốc,Quốc
黎念,Lê Niệm,Lê Niệm
吏,Lại,Lại
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
大,Đại,Đại
楊執中,Dương Chấp Trung,Dương Chấp Trung
翰,Hàn,Hàn
阮直翰,Nguyễn Trực Hàn,Nguyễn Trực Hàn
光,Quang,Quang
武永寕翰,Vũ Vĩnh Ninh Hàn,Vũ Vĩnh Ninh Hàn
阮德貞郭廷寶,Nguyễn Đức Trinh Quách Đình Bảo,Nguyễn Đức Trinh Quách Đình Bảo
賜范播,Tứ Phạm Bá,Tứ Phạm Bá
平灘,Bình Than,Bình Than
盆蛮,Bồn Man,Bồn Man
占城,Chiêm Thành,Chiêm Thành
化,Hoá,Hoá
神,Thần,Thần
游,Du,Du
神,Thần,Thần
羽,Vũ,Vũ
天,Thiên,Thiên
清華,Thanh Hoa,Thanh Hoa
乂安,Nghệ An,Nghệ An
順化,Thuận Hoá,Thuận Hoá
海陽,Hải Dương,Hải Dương
山南,Sơn Nam,Sơn Nam
山西,Sơn Tây,Sơn Tây
京北,Kinh Bắc,Kinh Bắc
安󰘊,An Bang,An Bang
宣光,Tuyên Quang,Tuyên Quang
興化,Hưng Hoá,Hưng Hoá
諒山,Lạng Sơn,Lạng Sơn
寕朔,Ninh Sóc,Ninh Sóc
奉天,Phụng Thiên,Phụng Thiên
潘師京,Phan Sư Kinh,Phan Sư Kinh
師京,Sư Kinh,Sư Kinh
范溥,Phạm Phổ,Phạm Phổ
時溥,Thời Phổ,Thời Phổ
徽,Huy,Huy
同桃,Đồng Đào,Đồng Đào
同桃,Đồng Đào,Đồng Đào
同桃,Đồng Đào,Đồng Đào
武鄰,Vũ Lân,Vũ Lân
同桃,Đồng Đào,Đồng Đào
范溥,Phạm Phổ,Phạm Phổ
唱,Sướng,Sướng
范播,Phạm Bá,Phạm Bá
禮,Lễ,Lễ
吏,Lại,Lại
阮如堵爾,Nguyễn Như Đổ Nhĩ,Nguyễn Như Đổ Nhĩ
黎卜,Lê Bốc,Lê Bốc
總,Tổng,Tổng
卜,Bốc,Bốc
改,Cảị,Cảị
洪德,Hồng Đức,Hồng Đức
朕,Trẫm,Trẫm
吏,Lại,Lại
甲,Giáp,Giáp
以黎景耀,Dĩ Lê Cảnh Diệu,Dĩ Lê Cảnh Diệu
户,Hộ,Hộ
黎國禎,Lê Quốc Trinh,Lê Quốc Trinh
乂安,Nghệ An,Nghệ An
副,Phó,Phó
申仁忠,Thân Nhân Trung,Thân Nhân Trung
翰,Hàn,Hàn
覃宗禮,Đàm Tông Lễ,Đàm Tông Lễ
翰,Hàn,Hàn
丁叔通,Đinh Thúc Thông,Đinh Thúc Thông
翰,Hàn,Hàn
庚寅洪德,Canh Dần Hồng Đức,Canh Dần Hồng Đức
明成,Minh Thành,Minh Thành
化春,Hoá Xuân,Hoá Xuân
選金,Tuyển Kim,Tuyển Kim
清華,Thanh Hoa,Thanh Hoa
清華,Thanh Hoa,Thanh Hoa
宣,Tuyên,Tuyên
阮德忠,Nguyễn Đức Trung,Nguyễn Đức Trung
阮復,Nguyễn Phục,Nguyễn Phục
時復,Thời Phục,Thời Phục
錦,Cẩm,Cẩm
幸西京,Hạnh Tây Kinh,Hạnh Tây Kinh
前,Tiền,Tiền
福光,Phúc Quang,Phúc Quang
洞滂,Động Bàng,Động Bàng
萬,Vạn,Vạn
是,Thị,Thị
齊,Tề,Tề
皆,Giai,Giai
洞滂福光,Động Bàng Phúc Quang,Động Bàng Phúc Quang
奉天,Phụng Thiên,Phụng Thiên
阮宗,Nguyễn Tông,Nguyễn Tông
道庵,Đạo Am,Đạo Am
乾,Càn,Càn
任姜,Nhâm Khương,Nhâm Khương
陶保,Đào Bảo,Đào Bảo
陶保,Đào Bảo,Đào Bảo
吳,Ngô,Ngô
黎察,Lê Sát,Lê Sát
黎察,Lê Sát,Lê Sát
平原,Bình Nguyên,Bình Nguyên
然陶保,Nhiên Đào Bảo,Nhiên Đào Bảo
小,Tiểu,Tiểu
阮廷羙,Nguyễn Đình Mĩ,Nguyễn Đình Mĩ
廷羙,Đình Mĩ,Đình Mĩ
廷美,Đình Mĩ,Đình Mĩ
廷羙,Đình Mĩ,Đình Mĩ
廷美,Đình Mĩ,Đình Mĩ
明,Minh,Minh
祐榶,Hữu Đường,Hữu Đường
即明孝宗,Tức Minh Hiếu Tông,Tức Minh Hiếu Tông
占城,Chiêm Thành,Chiêm Thành
槃,Bàn,Bàn
羅茶全,La Trà Toàn,La Trà Toàn
化,Hoá,Hoá
化州,Hoá Châu,Hoá Châu
范文顯,Phạm Văn Hiển,Phạm Văn Hiển
阮日升,Nguyễn Nhật Thăng,Nguyễn Nhật Thăng
天長,Thiên Trường,Thiên Trường
承,Thừa,Thừa
制,Chế,Chế
明,Minh,Minh
阮廷羙,Nguyễn Đình Mĩ,Nguyễn Đình Mĩ
占城,Chiêm Thành,Chiêm Thành
郭廷寶,Quách Đình Bảo,Quách Đình Bảo
占城,Chiêm Thành,Chiêm Thành
先是占城尸耐,Tiên Thị Chiêm Thành Thi Nại,Tiên Thị Chiêm Thành Thi Nại
槃羅茶悅,Bàn La Trà Duyệt,Bàn La Trà Duyệt
賁田,Bí Điền,Bí Điền
茶全,Trà Toàn,Trà Toàn
占,Chiêm,Chiêm
茶全,Trà Toàn,Trà Toàn
明,Minh,Minh
昔,Tích,Tích
祖髙皇,Tổ Cao Hoàng,Tổ Cao Hoàng
文皇帝,Văn Hoàng Đế,Văn Hoàng Đế
占城,Chiêm Thành,Chiêm Thành
憑古壘,Bằng Cổ Luỹ,Bằng Cổ Luỹ
闍槃,Đồ Bàn,Đồ Bàn
化州,Hoá Châu,Hoá Châu
計,Kế,Kế
燕京,Yên Kinh,Yên Kinh
象郡,Tượng Quận,Tượng Quận
横山,Hoành Sơn,Hoành Sơn
漢,Hán,Hán
𭶚道,Bặc Đạo,Bặc Đạo
北,Bắc,Bắc
蓬莪,Bồng Nga,Bồng Nga
明,Minh,Minh
逋,Bô,Bô
動佛,Động Phật,Động Phật
茶全,Trà Toàn,Trà Toàn
尸耐,Thi Nại,Thi Nại
神州,Thần Châu,Thần Châu
殄春秋,Điển Xuân Thu,Điển Xuân Thu
救兆,Cứu Triệu,Cứu Triệu
夷狄,Di Địch,Di Địch
九黎,Cửu Lê,Cửu Lê
三苗,Tam Miêu,Tam Miêu
大禹,Đại Vũ,Đại Vũ
小武帝,Tiểu Vũ Đế,Tiểu Vũ Đế
文王,Văn Vương,Văn Vương
太,Thái,Thái
麟,Lân,Lân
征,Chinh,Chinh
丁列太,Đinh Liệt Thái,Đinh Liệt Thái
祈,Kì,Kì
征,Chinh,Chinh
黎念,Lê Niệm,Lê Niệm
東南北,Đông Nam Bắc,Đông Nam Bắc
占,Chiêm,Chiêm
錦,Cẩm,Cẩm
金,Kim,Kim
神,Thần,Thần
殿,Điện,Điện
辛巳,Tân Tị,Tân Tị
太廟,Thái Miếu,Thái Miếu
臣,Thần,Thần
占城,Chiêm Thành,Chiêm Thành
化,Hoá,Hoá
明,Minh,Minh
尸耐,Thi Nại,Thi Nại
象郡,Tượng Quận,Tượng Quận
庚辰,Canh Thìn,Canh Thìn
征,Chinh,Chinh
麟,Lân,Lân
丁列,Đinh Liệt,Đinh Liệt
祈,Kì,Kì
黎念,Lê Niệm,Lê Niệm
庚寅,Canh Dần,Canh Dần
黎希葛右,Lê Hi Cát Hữu,Lê Hi Cát Hữu
黎景𧗼,Lê Cảnh Huy,Lê Cảnh Huy
謝克諧,Tạ Khắc Hài,Tạ Khắc Hài
雨,Vũ,Vũ
百,Bách,Bách
󰉎,Xao,Xao
吏,Lại,Lại
阮如堵,Nguyễn Như Đổ,Nguyễn Như Đổ
丁先皇,Đinh Tiên Hoàng,Đinh Tiên Hoàng
杜潤,Đỗ Nhuận,Đỗ Nhuận
道,Đạo,Đạo
帝,Đế,Đế
天,Thiên,Thiên
二,Nhị,Nhị
五,Ngũ,Ngũ
占,Chiêm,Chiêm
𭛁鉄,Phát Thiết,Phát Thiết
按,Án,Án
丁叔通阮才,Đinh Thúc Thông Nguyễn Tài,Đinh Thúc Thông Nguyễn Tài
六,Lục,Lục
按,Án,Án
丁列,Đinh Liệt,Đinh Liệt
玉麻,Ngọc Ma,Ngọc Ma
琴麗,Cầm Lệ,Cầm Lệ
盖,Cái,Cái
丁叔通范永裕裴叔史阮才,Đinh Thúc Thông Phạm Vĩnh Dụ Bùi Thúc Sử Nguyễn Tài,Đinh Thúc Thông Phạm Vĩnh Dụ Bùi Thúc Sử Nguyễn Tài
征,Chinh,Chinh
丁列黎念,Đinh Liệt Lê Niệm,Đinh Liệt Lê Niệm
占城,Chiêm Thành,Chiêm Thành
辛卯,Tân Mão,Tân Mão
明成化,Minh Thành Hoá,Minh Thành Hoá
順化,Thuận Hoá,Thuận Hoá
占國,Chiêm Quốc,Chiêm Quốc
順化,Thuận Hoá,Thuận Hoá
阮武圖,Nguyễn Vũ Đồ,Nguyễn Vũ Đồ
罡遠,Cang Viễn,Cang Viễn
占,Chiêm,Chiêm
具低,Cụ Đê,Cụ Đê
蓬莪沙沙,Bồng Nga Sa Sa,Bồng Nga Sa Sa
琴積順平,Cầm Tích Thuận Bình,Cầm Tích Thuận Bình
哀牢,Ai Lao,Ai Lao
官平,Quan Bình,Quan Bình
占,Chiêm,Chiêm
阮世羙,Nguyễn Thế Mĩ,Nguyễn Thế Mĩ
囯,Quốc,Quốc
命監,Mệnh Giám,Mệnh Giám
