cn,sv,entity_position,entities,entity_type
二十六日授陶󰁮翰淋院侍讀東閣學士楊直原為東閣校書,Nhị thập lục nhật thụ Đào Cử Hàn lâm viện thị độc Đông các học sĩ Dương Trực Nguyên vi Đông các hiệu thư,"(5: 8), (12: 13), (16: 19), (20: 21)","Đào Cử Hàn, Đông, Dương Trực Nguyên, Đông",
時天有大旱直原言乞修德以以回天变,Thời thiên hữu đại hạn Trực Nguyên ngôn khất tu đức dĩ dĩ hồi thiên biến,(5: 7),Trực Nguyên,
󰱥今府衙或權貴諸家有奴婢築屋在奉天府及有田産在各處府縣者並宜標題某府某衙官奴婢某姓之家男女人,Kế kim phủ nha hoặc quyền quý chư gia hữu nô tì trúc ốc tại Phụng Thiên phủ cập hữu điền sản tại các xứ phủ huyện giả tịnh nghi tiêu đề mỗ phủ mỗ nha quan nô tì mỗ tính chi gia nam nữ nhân,(15: 17),Phụng Thiên,
十六日詔自今沿邉廵司官如有鈌員吏部擇,Thập lục nhật chiếu tự kim duyên biên tuần ti quan như hữu khuyết viên Lại bộ trạch,(15: 16),Lại,
取附近地方京人有戰功得馘例應除用而服水土者銓除,thủ phụ cận địa phương Kinh nhân hữu chiến công đắc quắc lệ ứng trừ dụng nhi phục thuỷ thổ giả thuyên trừ,(5: 6),Kinh,
二十日色旨󰱥今六科給事中監察御史鈌貟吏部擇内外由進士出身廉勤剛直有政績者擬銓職任,Nhị thập nhật sắc chỉ Kế kim Lục khoa cấp sự trung Giám sát ngự sử khuyết viên Lại bộ trạch nội ngoại do tiến sĩ xuất thân liêm cần cương trực hữu chính tích giả nghĩ thuyên chức nhiệm,"(5: 6), (7: 8), (12: 13), (18: 19)","Kế, Lục, Giám, Lại",
一年之後六科給事中公同考覈所行事具奏取旨,Nhất niên chi hậu Lục khoa cấp sự trung công đồng khảo hạch sở hành sự cụ tấu thủ chỉ,(4: 5),Lục,
六科給事中不公許都御史考覈所行事具奏取旨,Lục khoa cấp sự trung bất công hứa Đô ngự sử khảo hạch sở hành sự cụ tấu thủ chỉ,(8: 9),Đô,
都御史󰱑考覈不公六科官具實紏弹,Đô ngự sử đài khảo hạch bất công Lục khoa quan cụ thực củ đàn,(8: 9),Lục,
若吏部銓󰱇非,Nhược Lại bộ thuyên tuyển phi,(0: 2),Nhược Lại,
󰱥今在外各衙門府縣州各衙首領官有陞調者吏部移文該知衙門詳勘果有廉勤䏻幹事任内公務無廢鈌者方許陞調,Kế kim tại ngoại các nha môn phủ huyện châu các nha thủ lĩnh quan hữu thăng điều giả Lại bộ di văn cai tri nha môn tường khám quả hữu liêm cần năng cán sự nhiệm nội công vụ vô phế khuyết giả phương hứa thăng điều,(19: 20),Lại,
定銓󰱇除劇任令如紹天府雷陽梁江等係是,Định thuyên tuyển trừ kịch nhiệm lệnh như Thiệu Thiên phủ Lôi Dương Lương Giang đẳng hệ thị,"(8: 10), (11: 15)","Thiệu Thiên, Lôi Dương Lương Giang",
劇任󰱥今如有鈌貟吏部擇取廉䏻剛直勤幹者銓除,Kịch nhiệm kế kim như hữu khuyết viên Lại bộ trạch thủ liêm năng cương trực cần cán giả thuyên trừ,(8: 9),Lại,
如乂安管軍管民有貫在本府縣家居接近本衙門吏部宜改調别任󰱇别貟人代除,Như Nghệ An quản quân quản dân hữu quán tại bản phủ huyện gia cư tiếp cận bản nha môn Lại bộ nghi cải điều biệt nhiệm tuyển biệt viên nhân đại trừ,"(0: 3), (20: 21)","Như Nghệ An, Lại",
并詔自今各處管軍管民吏部不得以貫在本處及家居接近所管地方者銓除,Tịnh chiếu tự kim các xứ quản quân quản dân Lại bộ bất đắc dĩ quán tại bản xứ cập gia cư tiếp cận sở quản địa phương giả thuyên trừ,(10: 11),Lại,
五月初三日講作待漏院,Ngũ nguyệt sơ tam nhật giảng tác Đãi Lậu viện,(7: 9),Đãi Lậu,
初太祖作待漏院于西門之外太宗仁宗仍之,Sơ Thái Tổ tác Đãi Lậu viện vu Tây môn chi ngoại Thái Tông Nhân Tông nhưng chi,"(0: 3), (4: 6), (8: 9), (12: 16)","Sơ Thái Tổ, Đãi Lậu, Tây, Thái Tông Nhân Tông",
聖宗於大興門外增築二連,Thánh Tông ư Đại Hưng môn ngoại tăng trúc nhị liên,"(0: 2), (3: 5)","Thánh Tông, Đại Hưng",
至是特命五府差搬旗軍於大興門外,Chí thị đặc mệnh Ngũ phủ sai ban kì quân ư Đại Hưng môn ngoại,"(4: 5), (11: 13)","Ngũ, Đại Hưng",
講作待漏院二連每連三間二厦,giảng tác Đãi lậu viện nhị liên mỗi liên tam gian nhị hạ,(2: 3),Đãi,
定追徵女丁夏綿布税例,Định truy Trưng nữ đinh hạ miên bố thuế lệ,(2: 3),Trưng,
自今各處承司推官如有鈌貟吏部擇取各衙門官曾經二考以上廉䏻練達諳曉刑名者銓除,Tự kim các xứ thừa ti suy quan như hữu khuyết viên Lại bộ trạch thủ các nha môn quan tằng kinh nhị khảo dĩ thượng liêm năng luyện đạt am hiểu hình danh giả thuyên trừ,(12: 13),Lại,
冬十月二十六日户部尚書鄂侑等奉從新𬢱定給俸錢例,Đông thập nguyệt nhị thập lục nhật Hộ bộ thượng thư Ngạc Hựu đẳng phụng tòng tân nghị định cấp bổng tiền lệ,"(7: 8), (11: 13)","Hộ, Ngạc Hựu",
十一月遣使如明,Thập nhất nguyệt khiển sứ như Minh,(6: 7),Minh,
户科都給事中范興文翰林院校理阮德順告哀,Hộ khoa đô cấp sự trung Phạm Hưng Văn Hàn Lâm viện hiệu lí Nguyễn Đức Thuận cáo ai,"(6: 11), (14: 17)","Phạm Hưng Văn Hàn Lâm, Nguyễn Đức Thuận",
翰林院校理潘錝范克慎阮廷俊求封,Hàn lâm viện hiệu lí Phan Tông Phạm Khắc Thận Nguyễn Đình Tuấn cầu phong,(5: 13),Phan Tông Phạm Khắc Thận Nguyễn Đình Tuấn,
置諒山都司平陸樂墟守禦,Trí Lạng Sơn Đô ti Bình Lục Lạc Khư thủ ngự,"(0: 4), (5: 9)","Trí Lạng Sơn Đô, Bình Lục Lạc Khư",
以黎䏻讓為殿前都檢點戅川伯黎潤為四衛提督榕湖伯朱鎮為有提點,Dĩ Lê Năng Nhượng vi Điện tiền đô kiểm điểm Cống Xuyên bá Lê Nhuận vi Tứ vệ đề đốc Dung Hồ bá Chu Trấn vi hữu đề điểm,"(0: 4), (5: 6), (10: 12), (13: 15), (16: 17), (20: 22), (23: 25)","Dĩ Lê Năng Nhượng, Điện, Cống Xuyên, Lê Nhuận, Tứ, Dung Hồ, Chu Trấn",
十二月二十四日辛卯上大行皇帝尊號曰崇天廣運髙明光正至德大功聖文神武達孝淳皇帝廟號聖宗,Thập nhị nguyệt nhị thập tứ nhật Tân Mão thượng Đại Hành Hoàng Đế tôn hiệu viết Sùng Thiên Quảng Vận Cao Minh Quang Chính Chí Đức Đại Công Thánh Văn Thần Vũ Đạt Hiếu Thuần Hoàng Đế miếu hiệu Thánh Tông,"(7: 9), (10: 14), (17: 38), (40: 42)","Tân Mão, Đại Hành Hoàng Đế, Sùng Thiên Quảng Vận Cao Minh Quang Chính Chí Đức Đại Công Thánh Văn Thần Vũ Đạt Hiếu Thuần Hoàng Đế, Thánh Tông",
大越史記本紀實録卷之十三終,Đại Việt sử ký bản kỷ thực lục quyển chi thập tam chung,(0: 2),Đại Việt,
大𧻗史記本紀實録卷之十四,Đại Việt sử ký bản kỷ thực lục quyển chi thập tứ,(0: 2),Đại Việt,
黎皇朝紀,Lê Hoàng triều KỶ,"(0: 2), (3: 4)","Lê Hoàng, KỶ",
憲宗睿皇帝,Hiến Tông Duệ Hoàng Đế,(0: 5),Hiến Tông Duệ Hoàng Đế,
諱鏳又諱暉聖宗之長子也在七年壽四十四歳而崩塟裕陵位帝天資英睿運撫隆平纔七年間而天妟然足爲守成之令主享國不永惜哉,Huý Sanh hựu huý Huy Thánh Tông chi trưởng tử dã tại thất niên thọ tứ thập tứ tuế nhi băng táng Dụ Lăng vị Đế thiên tư anh duệ vận phủ long bình tài thất niên gian nhi thiên yến nhiên túc vi thủ thành chi lệnh chủ hưởng quốc bất vĩnh tích tai,"(0: 2), (4: 7), (22: 24), (25: 26)","Huý Sanh, Huy Thánh Tông, Dụ Lăng, Đế",
下其母長樂聖慈皇太后阮氏諱晅宋山嘉苗外庄鄕贈太尉貞國公德忠之第二女也,hạ Kì mẫu Trường Lạc Thánh Từ hoàng thái hậu Nguyễn Thị huý Huyên Tống Sơn Gia Miêu Ngoại trang hương tặng Thái Uý Trinh quốc công Đức Trung chi đệ nhị nữ dã,"(1: 2), (3: 7), (10: 12), (13: 19), (22: 25), (27: 29)","Kì, Trường Lạc Thánh Từ, Nguyễn Thị, Huyên Tống Sơn Gia Miêu Ngoại, Thái Uý Trinh, Đức Trung",
先是聖宗未有繼嗣光淑皇太后嘗爲祈禱命德忠禱于佛跡山徐公庵夢至上帝前祈皇嗣,Tiên thị Thánh Tông vị hữu kế tự Quang Thục hoàng thái hậu thường vi kì đảo mệnh Đức Trung đảo vu Phật Tích sơn Từ Công am mộng chí Thượng đế tiền kì hoàng tự,"(2: 4), (8: 10), (18: 20), (22: 24), (25: 27), (30: 31)","Thánh Tông, Quang Thục, Đức Trung, Phật Tích, Từ Công, Thượng",
上帝曰許天禄爲阮氏子,Thượng đế viết Hứa Thiên Lộc vi Nguyễn thị tử,"(3: 6), (7: 8)","Hứa Thiên Lộc, Nguyễn",
乃抱坐前𠱾長,Nãi bão toạ tiền Thời Trường,(4: 6),Thời Trường,
樂皇太后居永寧宫即有娠,Lạc Hoàng thái hậu cư Vĩnh Ninh cung tức hữu thần,"(0: 2), (5: 7)","Lạc Hoàng, Vĩnh Ninh",
光順二年辛巳八月初十日生按阮伯朋天福寺碑記長樂皇太后有黄龍入左脇之祥,Quang Thuận nhị niên Tân Tị bát nguyệt sơ thập nhật sinh Án Nguyễn Bá Bằng Thiên Phúc tự bi ký Trường Lạc Hoàng thái hậu hữu hoàng long nhập tả hiếp chi tường,"(0: 2), (4: 6), (12: 18), (21: 24)","Quang Thuận, Tân Tị, Án Nguyễn Bá Bằng Thiên Phúc, Trường Lạc Hoàng",
云帝之生也天姿日表隆凖龍顔神釆端秀異常聖宗深奇爱之,vân Đế chi sinh dã thiên tư nhật biểu long chuẩn long nhan thần thái đoan tú dị thường Thánh Tông thâm kì ái chi,"(1: 2), (19: 21)","Đế, Thánh Tông",
光順三年三月冊立爲皇太子,Quang Thuận tam niên tam nguyệt sách lập vi Hoàng thái tử,"(0: 2), (9: 10)","Quang Thuận, Hoàng",
洪德二十八年正月聖宗崩,Hồng Đức nhị thập bát niên chính nguyệt Thánh Tông băng,"(0: 2), (8: 10)","Hồng Đức, Thánh Tông",
於是即皇帝位改元大赦以誕日爲天壽聖節稱上陽洞主,Ư thị tức Hoàng đế vị cải nguyên đại xá dĩ đản nhật vi Thiên Thọ thánh tiết xưng Thượng Dương động chủ,"(3: 4), (14: 16), (19: 21)","Hoàng, Thiên Thọ, Thượng Dương",
後追上尊謚廟號憲宗,Hậu truy thượng tôn thuỵ miếu hiệu Hiến Tông,(7: 9),Hiến Tông,
戊午景統元年明弘治十一年春正月十六日勑諭内外,Mậu Ngọ Cảnh Thống nguyên niên Minh Hoằng Trị thập nhất niên Xuân chính nguyệt thập lục nhật sắc dụ nội ngoại,"(0: 4), (6: 9), (12: 13)","Mậu Ngọ Cảnh Thống, Minh Hoằng Trị, Xuân",
護衛等司曰行宫之門不嚴則宮城之禁不固,hộ vệ đẳng ti viết Hành cung chi môn bất nghiêm tắc cung thành chi cấm bất cố,(5: 6),Hành,
如遇大駕󰥭謁山陵護衛三司㔫且號令謹𡧸勿特昇平之時而忽関防之僃,Như ngộ đại giá bái yết sơn lăng Hộ vệ tam ti vưu thả hiệu lệnh cẩn mật vật đặc thăng bình chi thời nhi hốt quan phòng chi bị,(8: 9),Hộ,
書曰有僃無患,Thư viết Hữu bị vô hoạn,(2: 3),Hữu,
易曰重門擊柝以待暴客此之謂也,Dịch viết Trùng môn kích thác dĩ đãi bạo khách thử chi vị dã,(2: 3),Trùng,
夜則用两虎金牌亦有令旗銅牌,Dạ tắc dụng Lưỡng hổ kim bài diệc hữu lệnh kì đồng bài,(3: 4),Lưỡng,
勑㫖諒山衛六所旗軍稀少官吏数多,Sắc chỉ Lạng Sơn vệ lục sở kì quân hi thiếu quan lại sổ đa,(2: 4),Lạng Sơn,
僃将省减姓名具題送吏部兵部調除及差擬教習别衛所,Bị tương tỉnh giảm tính danh cụ đề tống Lại bộ Binh bộ điều trừ cập sai nghĩ giáo tập biệt vệ sở,"(9: 10), (11: 12)","Lại, Binh",
初八月甲戌聖宗淳皇帝梓宫至籃京,Sơ bát nguyệt Giáp Tuất Thánh Tông Thuần Hoàng Đế tử cung chí Lam Kinh,"(3: 10), (13: 15)","Giáp Tuất Thánh Tông Thuần Hoàng Đế, Lam Kinh",
越二十八日甲午安塟于籃山永陵之左日昭陵,Việt nhị thập bát nhật Giáp Ngọ an táng vu Lam Sơn Vĩnh Lăng chi tả Nhật Chiêu lăng,"(5: 7), (10: 14), (16: 18)","Giáp Ngọ, Lam Sơn Vĩnh Lăng, Nhật Chiêu",
先是禮官奏請立碑刻銘以昭先帝之業於來世,Tiên thị Lễ quan tấu thỉnh lập bi khắc minh dĩ chiêu tiên đế chi nghiệp ư lai thế,(2: 3),Lễ,
帝可其奏命東閣大學士兼國子監祭酒申仁忠禮部尚書兼東閣大學士覃文禮東閣大𭓇,Đế khả kì tấu mệnh Đông các đại học sĩ kiêm Quốc tử giám Tế tửu Thân Nhân Trung Lễ bộ Thượng thư kiêm Đông các đại học sĩ Đàm Văn Lễ Đông các đại học,"(5: 6), (11: 12), (14: 15), (16: 20), (21: 22), (24: 25), (29: 33)","Đông, Quốc, Tế, Thân Nhân Trung Lễ, Thượng, Đông, Đàm Văn Lễ Đông",
士劉興孝󰱇文,sĩ Lưu Hưng Hiếu tuyển văn,(1: 4),Lưu Hưng Hiếu,
是日帝命女官女史十人送金枢安厝而出,Thị nhật Đế mệnh nữ quan nữ sử thập nhân tống kim xu an thố nhi xuất,(2: 3),Đế,
帝在東宫三十六年德業日進仁孝聞於天下故初政藹有可觀,Đế tại Đông cung tam thập lục niên đức nghiệp nhật tiến nhân hiếu văn ư thiên hạ cố sơ chính ái hữu khả quan,(2: 3),Đông,
乂安順化部中羣盗並起鄰郡攻討不䏻定,Nghệ An Thuận Hoá bộ trung quần đạo tịnh khởi lân quận công thảo bất năng định,(0: 4),Nghệ An Thuận Hoá,
帝覽户曹所上錢榖簿及詢,Đế lãm Hộ tào sở thượng tiền cốc bộ cập tuân,(2: 3),Hộ,
定保󰁮總兵例,Định bảo cử Tổng binh lệ,(3: 4),Tổng,
詔曰總兵之官一方重寄不可委非其,Chiếu viết Tổng binh chi quan nhất phương trọng kí bất khả uỷ phi kì,(2: 3),Tổng,
繼今總兵有闕許科󰱑等官保󰱇各衙門官有膽畧𭓇𧥾資望才幹廉勤者爲之,Kế kim Tổng binh hữu khuyết hứa khoa đài đẳng quan bảo tuyển các nha môn quan hữu đảm lược học thức tư vọng tài cán liêm cần giả vi chi,(2: 3),Tổng,
定納生絲税例從鄭值之議也,Định nộp sinh ti thuế lệ tòng Trịnh Trị chi nghị dã,(7: 9),Trịnh Trị,
以楊直原爲吏科都給事中優加廉絜季俸钱,Dĩ Dương Trực Nguyên vi Lại khoa đô cấp sự trung ưu gia liêm khiết quý bổng tiền,"(0: 4), (5: 6)","Dĩ Dương Trực Nguyên, Lại",
夏四月初五日勑諭典吏綠事克軍得赦應克在外衙門吏,Hạ tứ nguyệt sơ ngũ nhật sắc dụ Điển lại lục sự khắc quân đắc xá ưng khắc tại ngoại nha môn lại,(8: 9),Điển,
十九日海陽等處賛治承宣使司參政武睿等上奏爲陳言鄕試日期事臣等奉查上年鄕試事例八月初八,Thập cửu nhật Hải Dương đẳng xứ Tán trị thừa tuyên sứ ti Tham chính Vũ Duệ đẳng thượng tấu vi trần ngôn Hương thí nhật kì sự Thần đẳng phụng tra thượng niên Hương thí sự lệ bát nguyệt sơ bát,"(3: 5), (7: 8), (13: 14), (15: 17), (23: 24), (28: 29), (34: 35)","Hải Dương, Tán, Tham, Vũ Duệ, Hương, Thần, Hương",
奉此臣等窃照今年八月當鄕試期本月初十日恭遇天壽聖節,Phụng thử thần đẳng thiết chiếu kim niên bát nguyệt đương Hương thí kì bản nguyệt sơ thập nhật cung ngộ Thiên thọ Thánh tiết,"(11: 12), (21: 22), (23: 24)","Hương, Thiên, Thánh",
如本月初八日武睿及憲司等員並已入鄕試塲到初十日再出本衙門行禮則試事不謹於試塲中設立香案行禮則禮文不僃,Như bản nguyệt sơ bát nhật Vũ Duệ cập Hiến ti đẳng viên tịnh dĩ nhập Hương thí trường đáo sơ thập nhật tái xuất bản nha môn hành lễ tắc thí sự bất cẩn ư thí trường trung thiết lập hương án hành lễ tắc lễ văn bất bị,"(6: 8), (9: 10), (16: 17)","Vũ Duệ, Hiến, Hương",
伏乞今年鄕試展出本月十二日入第一塲二十日入第二塲二十九日入第三塲九月初六日入第四塲,Phục khất kim niên Hương thí triển xuất bản nguyệt thập nhị nhật nhập đệ nhất trường nhị thập nhật nhập đệ nhị trường nhị thập cửu nhật nhập đệ tam trường cửu nguyệt sơ lục nhật nhập đệ tứ trường,(4: 5),Hương,
秋七月十五日御史󰱑都御史郭有嚴奏力勇武士典吏軍色諸人捉得劫人并惡逆賊黨例有出身者吏部照如出身例除用若例無出身者並授散職如令,Thu thất nguyệt thập ngũ nhật Ngự sử đài Đô ngự sử Quách Hữu Nghiêm tấu Lực dũng võ sĩ điển lại quân sắc chư nhân tróc đắc kiếp nhân tịnh ác nghịch tặc đảng lệ hữu xuất thân giả Lại bộ chiếu như xuất thân lệ trừ dụng nhược lệ vô xuất thân giả tịnh thụ tản chức như lệnh,"(6: 7), (9: 10), (12: 15), (16: 17), (40: 41)","Ngự, Đô, Quách Hữu Nghiêm, Lực, Lại",
逆人黄翕件伏誅,Nghịch nhân Hoàng Hấp Kiện phục tru,(2: 5),Hoàng Hấp Kiện,
八月二十二日勑諭刑部廷尉司及内外勘理獄訟等官曰刑獄之用民命所懸得其道則民恊于中失其道則民受其害,Bát nguyệt nhị thập nhị nhật sắc dụ Hình bộ Đình uý ti cập nội ngoại khám lí ngục tụng đẳng quan viết Hình ngục chi dụng dân mệnh sở huyền đắc kì đạo tắc dân hiệp vu trung thất kì đạo tắc dân thụ kì hại,"(8: 9), (10: 11), (23: 24)","Hình, Đình, Hình",
故易象深懲於滯獄書經務要於蔽囚,Cố Dịch tượng thâm trừng ư trệ ngục Thư kinh vụ yếu ư tế tù,"(0: 2), (8: 9)","Cố Dịch, Thư",
央之間𡸈可容扵遲緩哉󰱥今以後刑部廷尉司及内外勘理獄訟等官凡諸訟情疑難者並依期勘完,ương chi gian khởi khả dung ư trì hoãn tai Kế kim dĩ hậu Hình bộ Đình uý ti cập nội ngoại khám lí ngục tụng đẳng quan phàm chư tụng tình nghi nan giả tịnh ỷ kì khám hoàn,"(10: 11), (14: 15), (16: 17)","Kế, Hình, Đình",
